"Title","Card Path","Evidence Quality","Fulltext URL","Fulltext Checked","Supplement Status","Citation Status","DOI Status","arXiv Status","Code Checked","Experiment Extracted","Results Extracted","Ablation Extracted","Failure Cases Extracted","Limitations Extracted","Remaining Gap Extracted","Excel Synced","Last Verified","Deep Enrichment Completed","Deep Enrichment Status"
"Bidirectional Decoding: Improving Action Chunking via Guided Test-Time Sampling","02_Papers\06_Diffusion_Flow_IL_RL\Bidirectional_Decoding.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/0d78dd998f7b9ac79604d47a2d79bb0d-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Demystifying Robot Diffusion Policies: Action Memorization and a Simple Lookup Table Alternative","02_Papers\06_Diffusion_Flow_IL_RL\Demystifying_Robot_Diffusion_Policies_Action_Memorization_and_a_Simple_Lookup_Table_Altern.md","B","https://proceedings.iclr.cc/paper_files/paper/2026/hash/122ea6470232ee5e79a2649243348005-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Dynamic Test-Time Compute Scaling in Control Policy: Difficulty-Aware Stochastic Interpolant Policy","02_Papers\06_Diffusion_Flow_IL_RL\Dynamic_Test-Time_Compute_Scaling_in_Control_Policy_Difficulty-Aware_Stochastic_Interpolan.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/49eadcc4a329fc6b74b9f8a82b78cbc3-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"EquiBot: SIM(3)-Equivariant Diffusion Policy for Generalizable and Data Efficient Learning","02_Papers\06_Diffusion_Flow_IL_RL\EquiBot.md","B","https://proceedings.mlr.press/v270/yang25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Equivariant Diffusion Policy","02_Papers\06_Diffusion_Flow_IL_RL\Equivariant_Diffusion_Policy.md","B","https://proceedings.mlr.press/v270/wang25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"ET-SEED: Efficient Trajectory-Level SE(3) Equivariant Diffusion Policy","02_Papers\06_Diffusion_Flow_IL_RL\ET-SEED.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/969a11f489c59c50c2cfe8c407c68a9b-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"FlowPolicy: Enabling Fast and Robust 3D Flow-Based Policy via Consistency Flow Matching for Robot Manipulation","02_Papers\06_Diffusion_Flow_IL_RL\FlowPolicy.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/33617","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"FoAM: Foresight-Augmented Multi-Task Imitation Policy for Robotic Manipulation","02_Papers\06_Diffusion_Flow_IL_RL\FoAM.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/38911","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Multimodal and Force-Matched Imitation Learning With a See-Through Visuotactile Sensor","02_Papers\06_Diffusion_Flow_IL_RL\Force_Matched_Visuotactile_IL.md","B","https://ieeexplore.ieee.org/document/10814647/","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"FreqPolicy: Efficient Flow-based Visuomotor Policy via Frequency Consistency","02_Papers\06_Diffusion_Flow_IL_RL\FreqPolicy.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/282c3318be1b047b7bb5ba94fa4f3231-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Hierarchical Diffusion Policy for Kinematics-Aware Multi-Task Robotic Manipulation","02_Papers\06_Diffusion_Flow_IL_RL\Hierarchical_Diffusion_Policy_for_Kinematics-Aware_Multi-Task_Robotic_Manipulation.md","B","https://openaccess.thecvf.com/content/CVPR2024/html/Ma_Hierarchical_Diffusion_Policy_for_Kinematics-Aware_Multi-Task_Robotic_Manipulation_CVPR_2024_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Learning Diffusion Policy from Primitive Skills for Robot Manipulation","02_Papers\06_Diffusion_Flow_IL_RL\Learning_Diffusion_Policy_from_Primitive_Skills_for_Robot_Manipulation.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/38889","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Learning Robotic Manipulation Policies from Point Clouds with Conditional Flow Matching","02_Papers\06_Diffusion_Flow_IL_RL\Learning_Robotic_Manipulation_Policies_from_Point_Clouds_with_Conditional_Flow_Matching.md","B","https://proceedings.mlr.press/v270/chisari25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"MILES: Making Imitation Learning Easy with Self-Supervision","02_Papers\06_Diffusion_Flow_IL_RL\MILES.md","B","https://proceedings.mlr.press/v270/papagiannis25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"MimicFunc: Imitating Functional Manipulation from Language-Conditioned Demonstrations","02_Papers\06_Diffusion_Flow_IL_RL\MimicFunc.md","B","https://proceedings.mlr.press/v305/tang25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"PointMapPolicy: Structured Point Cloud Processing for Multi-Modal Imitation Learning","02_Papers\06_Diffusion_Flow_IL_RL\PointMapPolicy.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/eacc8ae341d15d2c13c02fef88189db3-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Real-Time Robot Execution with Masked Action Chunking","02_Papers\06_Diffusion_Flow_IL_RL\Real-Time_Robot_Execution_with_Masked_Action_Chunking.md","B","https://proceedings.iclr.cc/paper_files/paper/2026/hash/c35834443b7881e782e52b3519fe27c7-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Robot Policy Learning with Temporal Optimal Transport Reward","02_Papers\06_Diffusion_Flow_IL_RL\Robot_Policy_Learning_with_Temporal_Optimal_Transport_Reward.md","B","https://proceedings.neurips.cc/paper_files/paper/2024/hash/dcd297696d0bb304ba426b3c5a679c37-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Text-Aware Diffusion for Policy Learning","02_Papers\06_Diffusion_Flow_IL_RL\Text-Aware_Diffusion_for_Policy_Learning.md","B","https://proceedings.neurips.cc/paper_files/paper/2024/hash/5227ce00add5aa0a12d1c4ee92fcd2dc-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Closed-Loop Visuomotor Control with Generative Expectation for Robotic Manipulation","02_Papers\07_Generalization_LongHorizon\Closed-Loop_Visuomotor_Control_with_Generative_Expectation_for_Robotic_Manipulation.md","B","https://proceedings.neurips.cc/paper_files/paper/2024/hash/fad8962279154544ed69bb63eb14d677-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Enhancing LLM Planning for Robotics Manipulation through Hierarchical Procedural Knowledge Graphs","02_Papers\07_Generalization_LongHorizon\Enhancing_LLM_Planning_for_Robotics_Manipulation_through_Hierarchical_Procedural_Knowledge.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/b94310e1c7ecb79f1a24adc757f1b89b-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Gentle Manipulation Policy Learning via Demonstrations from VLM Planned Atomic Skills","02_Papers\07_Generalization_LongHorizon\Gentle_Manipulation_Policy_Learning_via_Demonstrations_from_VLM_Planned_Atomic_Skills.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/38955","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"GMAP: Generalized Manipulation of Articulated Objects in Robotic Using Pre-trained Model","02_Papers\07_Generalization_LongHorizon\GMAP.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/33615","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"HAMSTER: Hierarchical Action Models for Open-World Robot Manipulation","02_Papers\07_Generalization_LongHorizon\HAMSTER.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/3bfee3bc6639c36e6e7b058db909f760-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Instruction-Augmented Long-Horizon Planning: Embedding Grounding Mechanisms in Embodied Mobile Manipulation","02_Papers\07_Generalization_LongHorizon\Instruction-Augmented_Long-Horizon_Planning_Embedding_Grounding_Mechanisms_in_Embodied_Mob.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/33610","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Mitigating the Human-Robot Domain Discrepancy in Visual Pre-training for Robotic Manipulation","02_Papers\07_Generalization_LongHorizon\Mitigating_the_Human-Robot_Domain_Discrepancy_in_Visual_Pre-training_for_Robotic_Manipulat.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Zhou_Mitigating_the_Human-Robot_Domain_Discrepancy_in_Visual_Pre-training_for_Robotic_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"OWMM-Agent: Open World Mobile Manipulation With Multi-modal Agentic Data Synthesis","02_Papers\07_Generalization_LongHorizon\OWMM-Agent.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/bc97207e3979d1cc23109db0be0e8ed2-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Policy Decorator: Model-Agnostic Online Refinement for Large Policy Models","02_Papers\07_Generalization_LongHorizon\Policy_Decorator.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/45c361d4117d598d4bb6568b407e9ac9-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"RAM: Retrieval-Based Affordance Transfer for Generalizable Zero-Shot Robotic Manipulation","02_Papers\07_Generalization_LongHorizon\RAM.md","B","https://proceedings.mlr.press/v270/kuang24a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"RGMP: Recurrent Geometric-prior Multimodal Policy for Generalizable Humanoid Robot Manipulation","02_Papers\07_Generalization_LongHorizon\RGMP.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/38539","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Self-Correcting Robot Manipulation via Gaussian-Splatted Foresight","02_Papers\07_Generalization_LongHorizon\Self-Correcting_Robot_Manipulation_via_Gaussian-Splatted_Foresight.md","B","https://ojs.aaai.org/index.php/AAAI/article/view/34866","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"SPIRE: Synergistic Planning, Imitation, and Reinforcement Learning for Long-Horizon Manipulation","02_Papers\07_Generalization_LongHorizon\SPIRE.md","B","https://proceedings.mlr.press/v270/zhou24b.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"TASTE-Rob: Advancing Video Generation of Task-Oriented Hand-Object Interaction for Generalizable Robotic Manipulation","02_Papers\07_Generalization_LongHorizon\TASTE-Rob.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Zhao_TASTE-Rob_Advancing_Video_Generation_of_Task-Oriented_Hand-Object_Interaction_for_Generalizable_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Think Small, Act Big: Primitive Prompt Learning for Lifelong Robot Manipulation","02_Papers\07_Generalization_LongHorizon\Think_Small,_Act_Big.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Yao_Think_Small_Act_Big_Primitive_Prompt_Learning_for_Lifelong_Robot_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"UniDomain: Pretraining a Unified PDDL Domain from Real-World Demonstrations for Generalizable Robot Task Planning","02_Papers\07_Generalization_LongHorizon\UniDomain.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/b8358a00e5b870194b974ddf8dd415c3-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"VidBot: Learning Generalizable 3D Actions from In-the-Wild 2D Human Videos for Zero-Shot Robotic Manipulation","02_Papers\07_Generalization_LongHorizon\VidBot.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Chen_VidBot_Learning_Generalizable_3D_Actions_from_In-the-Wild_2D_Human_Videos_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"DexCap: Scalable and Portable Mocap Data Collection System for Dexterous Manipulation","02_Papers\08_Data_Teleoperation\DexCap.md","B","https://roboticsproceedings.org/rss20/p043.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"DynScene: Scalable Generation of Dynamic Robotic Manipulation Scenes for Embodied AI","02_Papers\08_Data_Teleoperation\DynScene.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Lee_DynScene_Scalable_Generation_of_Dynamic_Robotic_Manipulation_Scenes_for_Embodied_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Latent Action Pretraining from Videos","02_Papers\08_Data_Teleoperation\Latent_Action_Pretraining_from_Videos.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/45d74e190008c7bff2845ffc8e3facd3-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"ManiWAV: Learning Robot Manipulation from In-the-Wild Audio-Visual Data","02_Papers\08_Data_Teleoperation\ManiWAV.md","B","https://proceedings.mlr.press/v270/liu24c.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"OPEN TEACH: A Versatile Teleoperation System for Robotic Manipulation","02_Papers\08_Data_Teleoperation\OPEN_TEACH.md","B","https://proceedings.mlr.press/v270/iyer25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Robo2VLM: Improving Visual Question Answering using Large-Scale Robot Manipulation Data","02_Papers\08_Data_Teleoperation\Robo2VLM.md","B","https://proceedings.neurips.cc/paper_files/paper/2025/hash/1f467c3e37abf9f86c78f44c6a27ee7c-Abstract-Datasets_and_Benchmarks_Track.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"A Survey of Demonstration Learning","02_Papers\09_Survey_Review\A_Survey_of_Demonstration_Learning.md","B","https://doi.org/10.1016/j.robot.2024.104812","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"A Survey of Embodied Learning for Object-Centric Robotic Manipulation","02_Papers\09_Survey_Review\A_Survey_of_Embodied_Learning_for_Object-Centric_Robotic_Manipulation.md","B","https://link.springer.com/article/10.1007/s11633-025-1542-8","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"A Survey of Robot Learning for Bimanual Manipulation","02_Papers\09_Survey_Review\A_Survey_of_Robot_Learning_for_Bimanual_Manipulation.md","B","https://github.com/Destiny000621/awesome-bimanual-robot-learning/blob/main/SURVEY.md","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"A Survey on Robotics with Foundation Models: Toward Embodied AI","02_Papers\09_Survey_Review\A_Survey_on_Robotics_with_Foundation_Models_Toward_Embodied_AI.md","B","https://arxiv.org/abs/2402.02385","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"A Survey on Vision-Language-Action Models: An Action Tokenization Perspective","02_Papers\09_Survey_Review\A_Survey_on_Vision-Language-Action_Models_An_Action_Tokenization_Perspective.md","B","https://arxiv.org/abs/2507.01925","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"A Survey on Vision-Language-Action Models for Embodied AI","02_Papers\09_Survey_Review\A_Survey_on_Vision-Language-Action_Models_for_Embodied_AI.md","B","https://arxiv.org/abs/2405.14093","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Dexterous Hand towards Intelligent Manufacturing: A Review of Technologies, Trends, and Potential Applications","02_Papers\09_Survey_Review\Dexterous_Hand_towards_Intelligent_Manufacturing_A_Review_of_Technologies,_Trends,_and_Pot.md","B","https://www.sciencedirect.com/science/article/pii/S0736584525000754","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Interactive Imitation Learning for Dexterous Robotic Manipulation: Challenges and Perspectives鈥攁 Survey","02_Papers\09_Survey_Review\Interactive_Imitation_Learning_for_Dexterous_Robotic_Manipulation_Challenges_and_Perspecti.md","B","https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2025.1682437/full","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Learning by Watching: A Review of Video-Based Learning Approaches for Robot Manipulation","02_Papers\09_Survey_Review\Learning_by_Watching.md","B","https://arxiv.org/abs/2402.07127","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Survey of Learning-Based Approaches for Robotic In-Hand Manipulation","02_Papers\09_Survey_Review\Survey_of_Learning-Based_Approaches_for_Robotic_In-Hand_Manipulation.md","B","https://www.frontiersin.org/journals/robotics-and-ai/articles/10.3389/frobt.2024.1455431/full","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Towards a Unified Understanding of Robot Manipulation: A Comprehensive Survey","02_Papers\09_Survey_Review\Towards_a_Unified_Understanding_of_Robot_Manipulation_A_Comprehensive_Survey.md","B","https://arxiv.org/abs/2510.10903","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"What Foundation Models can Bring for Robot Learning in Manipulation: A Survey","02_Papers\09_Survey_Review\What_Foundation_Models_can_Bring_for_Robot_Learning_in_Manipulation_A_Survey.md","B","https://journals.sagepub.com/doi/10.1177/02783649251390579","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"AdaManip: Adaptive Articulated Object Manipulation Environments and Policy Learning","02_Papers\10_Benchmark_Dataset\AdaManip.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/9cd0c57170f48520749d5ae62838241f-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"BiGym: A Demo-Driven Mobile Bi-Manual Manipulation Benchmark","02_Papers\10_Benchmark_Dataset\BiGym.md","B","https://proceedings.mlr.press/v270/chernyadev25a.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"DexH2R: A Benchmark for Dynamic Dexterous Grasping in Human-to-Robot Handover","02_Papers\10_Benchmark_Dataset\DexH2R.md","B","https://openaccess.thecvf.com/content/ICCV2025/html/Wang_DexH2R_A_Benchmark_for_Dynamic_Dexterous_Grasping_in_Human-to-Robot_Handover_ICCV_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"DROID: A Large-Scale In-The-Wild Robot Manipulation Dataset","02_Papers\10_Benchmark_Dataset\DROID.md","B","https://roboticsproceedings.org/rss20/p120.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Open X-Embodiment: Robotic Learning Datasets and RT-X Models","02_Papers\10_Benchmark_Dataset\Open_X-Embodiment.md","B","https://ieeexplore.ieee.org/document/10611477","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"Point Cloud Matters: Rethinking the Impact of Different Observation Spaces on Robot Learning","02_Papers\10_Benchmark_Dataset\Point_Cloud_Matters.md","B","https://proceedings.neurips.cc/paper_files/paper/2024/hash/8e5dc5969a6174fcaaececd890c7f59b-Abstract-Datasets_and_Benchmarks_Track.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"RoboCasa: Large-Scale Simulation of Household Tasks for Generalist Robots","02_Papers\10_Benchmark_Dataset\RoboCasa.md","B","https://roboticsproceedings.org/rss20/p074.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"RoboTwin: Dual-Arm Robot Benchmark with Generative Digital Twins","02_Papers\10_Benchmark_Dataset\RoboTwin.md","B","https://openaccess.thecvf.com/content/CVPR2025/html/Mu_RoboTwin_Dual-Arm_Robot_Benchmark_with_Generative_Digital_Twins_CVPR_2025_paper.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"SurgicAI: A Hierarchical Platform for Fine-Grained Surgical Policy Learning and Benchmarking","02_Papers\10_Benchmark_Dataset\SurgicAI.md","B","https://proceedings.neurips.cc/paper_files/paper/2024/hash/74c4f2b87b7499d365422152c76fd916-Abstract-Datasets_and_Benchmarks_Track.html","No","Available - Verified","OpenAlex matched","Verified DOI","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"TACO: Benchmarking Generalizable Bimanual Tool-ACtion-Object Understanding","02_Papers\10_Benchmark_Dataset\TACO.md","B","https://openaccess.thecvf.com/content/CVPR2024/papers/Liu_TACO_Benchmarking_Generalizable_Bimanual_Tool-ACtion-Object_Understanding_CVPR_2024_paper.pdf","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"THE COLOSSEUM: A Benchmark for Evaluating Generalization for Robotic Manipulation","02_Papers\10_Benchmark_Dataset\THE_COLOSSEUM.md","B","https://www.roboticsproceedings.org/rss20/p133.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Not Found After Verification","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
"VTDexManip: A Dataset and Benchmark for Visual-tactile Pretraining and Dexterous Manipulation with Reinforcement Learning","02_Papers\10_Benchmark_Dataset\VTDexManip.md","B","https://proceedings.iclr.cc/paper_files/paper/2025/hash/e19b6f65791e350347bcff8a3955cb5b-Abstract-Conference.html","No","Available - Verified","OpenAlex matched","Not Found After Verification","Listed / source checked","Yes","No","No","No","No","No","No","Yes","2026-09-21","false","Audit logged - deep extraction pending"
